,total_docks,year,month,weekday,max_temperature_f_x,mean_temperature_f_x,min_temperature_f_x,max_dew_point_f_x,mean_dew_point_f_x,min_dew_point_f_x,max_humidity_x,mean_humidity_x,min_humidity_x,max_sea_level_pressure_inches_x,mean_sea_level_pressure_inches_x,min_sea_level_pressure_inches_x,max_visibility_miles_x,mean_visibility_miles_x,min_visibility_miles_x,max_wind_Speed_mph_x,mean_wind_speed_mph_x,max_gust_speed_mph_x,precipitation_inches_x,cloud_cover_x,wind_dir_degrees_x,Fog_x,Fog-Rain_x,Normal_x,Rain_x,Rain-Thunderstorm_x,weekend,max_temperature_f_y,mean_temperature_f_y,min_temperature_f_y,max_dew_point_f_y,mean_dew_point_f_y,min_dew_point_f_y,max_humidity_y,mean_humidity_y,min_humidity_y,max_sea_level_pressure_inches_y,mean_sea_level_pressure_inches_y,min_sea_level_pressure_inches_y,max_visibility_miles_y,mean_visibility_miles_y,min_visibility_miles_y,max_wind_Speed_mph_y,mean_wind_speed_mph_y,max_gust_speed_mph_y,precipitation_inches_y,cloud_cover_y,wind_dir_degrees_y,Fog_y,Fog-Rain_y,Normal_y,Rain_y,Rain-Thunderstorm_y,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm
53,100,2013,9,6,78.0,68.0,59.0,61.0,57.0,54.0,88.0,77.0,44.0,29.89,29.85,29.76,10.0,10.0,10.0,8.0,3.0,10.0,0.0,0.0,350.0,0,0,1,0,0,1,78.0,68.0,59.0,61.0,57.0,54.0,88.0,77.0,44.0,29.89,29.85,29.76,10.0,10.0,10.0,8.0,3.0,10.0,0.0,0.0,350.0,0,0,1,0,0,78.0,68.0,59.0,61.0,57.0,54.0,88.0,77.0,44.0,29.89,29.85,29.76,10.0,10.0,10.0,8.0,3.0,10.0,0.0,0.0,350.0,0,0,1,0,0
56,100,2013,9,0,87.0,73.0,59.0,63.0,57.0,48.0,88.0,77.0,25.0,29.83,29.78,29.72,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,336.0,0,0,1,0,0,0,87.0,73.0,59.0,63.0,57.0,48.0,88.0,77.0,25.0,29.83,29.78,29.72,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,336.0,0,0,1,0,0,87.0,73.0,59.0,63.0,57.0,48.0,88.0,77.0,25.0,29.83,29.78,29.72,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,336.0,0,0,1,0,0
62,100,2013,9,1,77.0,70.0,62.0,63.0,57.0,55.0,88.0,76.0,50.0,29.91,29.81,29.76,10.0,10.0,10.0,16.0,3.0,17.0,0.0,3.0,298.0,0,0,1,0,0,0,77.0,70.0,62.0,63.0,57.0,55.0,88.0,76.0,50.0,29.91,29.81,29.76,10.0,10.0,10.0,16.0,3.0,17.0,0.0,3.0,298.0,0,0,1,0,0,77.0,70.0,62.0,63.0,57.0,55.0,88.0,76.0,50.0,29.91,29.81,29.76,10.0,10.0,10.0,16.0,3.0,17.0,0.0,3.0,298.0,0,0,1,0,0
65,100,2013,9,2,75.0,67.0,59.0,59.0,56.0,54.0,82.0,74.0,53.0,30.0,29.95,29.91,10.0,10.0,10.0,18.0,4.0,23.0,0.0,2.0,267.0,0,0,1,0,0,0,75.0,67.0,59.0,59.0,56.0,54.0,82.0,74.0,53.0,30.0,29.95,29.91,10.0,10.0,10.0,18.0,4.0,23.0,0.0,2.0,267.0,0,0,1,0,0,75.0,67.0,59.0,59.0,56.0,54.0,82.0,74.0,53.0,30.0,29.95,29.91,10.0,10.0,10.0,18.0,4.0,23.0,0.0,2.0,267.0,0,0,1,0,0
73,100,2013,9,3,75.0,68.0,60.0,61.0,57.0,55.0,88.0,78.0,57.0,30.0,29.96,29.9,10.0,10.0,10.0,20.0,3.0,18.0,0.0,5.0,297.0,0,0,1,0,0,0,75.0,68.0,60.0,61.0,57.0,55.0,88.0,78.0,57.0,30.0,29.96,29.9,10.0,10.0,10.0,20.0,3.0,18.0,0.0,5.0,297.0,0,0,1,0,0,75.0,68.0,60.0,61.0,57.0,55.0,88.0,78.0,57.0,30.0,29.96,29.9,10.0,10.0,10.0,20.0,3.0,18.0,0.0,5.0,297.0,0,0,1,0,0
79,100,2013,9,4,75.0,67.0,59.0,59.0,55.0,52.0,88.0,77.0,50.0,29.93,29.88,29.8,10.0,10.0,10.0,15.0,6.0,20.0,0.0,4.0,294.0,0,0,1,0,0,0,75.0,67.0,59.0,59.0,55.0,52.0,88.0,77.0,50.0,29.93,29.88,29.8,10.0,10.0,10.0,15.0,6.0,20.0,0.0,4.0,294.0,0,0,1,0,0,75.0,67.0,59.0,59.0,55.0,52.0,88.0,77.0,50.0,29.93,29.88,29.8,10.0,10.0,10.0,15.0,6.0,20.0,0.0,4.0,294.0,0,0,1,0,0
82,100,2013,9,5,66.0,62.0,57.0,57.0,55.0,54.0,94.0,82.0,68.0,29.86,29.82,29.78,10.0,10.0,10.0,14.0,9.0,20.0,0.0,5.0,266.0,0,0,1,0,0,1,66.0,62.0,57.0,57.0,55.0,54.0,94.0,82.0,68.0,29.86,29.82,29.78,10.0,10.0,10.0,14.0,9.0,20.0,0.0,5.0,266.0,0,0,1,0,0,66.0,62.0,57.0,57.0,55.0,54.0,94.0,82.0,68.0,29.86,29.82,29.78,10.0,10.0,10.0,14.0,9.0,20.0,0.0,5.0,266.0,0,0,1,0,0
89,100,2013,9,6,77.0,68.0,59.0,59.0,56.0,54.0,83.0,77.0,47.0,29.89,29.83,28.98,10.0,10.0,10.0,15.0,6.0,20.0,0.0,5.0,283.0,0,0,1,0,0,1,77.0,68.0,59.0,59.0,56.0,54.0,83.0,77.0,47.0,29.89,29.83,28.98,10.0,10.0,10.0,15.0,6.0,20.0,0.0,5.0,283.0,0,0,1,0,0,77.0,68.0,59.0,59.0,56.0,54.0,83.0,77.0,47.0,29.89,29.83,28.98,10.0,10.0,10.0,15.0,6.0,20.0,0.0,5.0,283.0,0,0,1,0,0
91,100,2013,9,0,77.0,68.0,59.0,61.0,57.0,54.0,94.0,80.0,47.0,29.91,29.88,29.83,10.0,10.0,10.0,17.0,4.0,23.0,0.0,3.0,283.0,0,0,1,0,0,0,77.0,68.0,59.0,61.0,57.0,54.0,94.0,80.0,47.0,29.91,29.88,29.83,10.0,10.0,10.0,17.0,4.0,23.0,0.0,3.0,283.0,0,0,1,0,0,77.0,68.0,59.0,61.0,57.0,54.0,94.0,80.0,47.0,29.91,29.88,29.83,10.0,10.0,10.0,17.0,4.0,23.0,0.0,3.0,283.0,0,0,1,0,0
96,100,2013,9,1,69.0,64.0,60.0,55.0,53.0,50.0,82.0,70.0,49.0,29.9,29.88,29.87,10.0,10.0,10.0,25.0,9.0,32.0,0.0,3.0,281.0,0,0,1,0,0,0,69.0,64.0,60.0,55.0,53.0,50.0,82.0,70.0,49.0,29.9,29.88,29.87,10.0,10.0,10.0,25.0,9.0,32.0,0.0,3.0,281.0,0,0,1,0,0,69.0,64.0,60.0,55.0,53.0,50.0,82.0,70.0,49.0,29.9,29.88,29.87,10.0,10.0,10.0,25.0,9.0,32.0,0.0,3.0,281.0,0,0,1,0,0
103,100,2013,9,2,82.0,68.0,55.0,55.0,49.0,41.0,77.0,63.0,23.0,29.98,29.88,29.84,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,264.0,0,0,1,0,0,0,82.0,68.0,55.0,55.0,49.0,41.0,77.0,63.0,23.0,29.98,29.88,29.84,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,264.0,0,0,1,0,0,82.0,68.0,55.0,55.0,49.0,41.0,77.0,63.0,23.0,29.98,29.88,29.84,10.0,10.0,10.0,12.0,3.0,14.0,0.0,0.0,264.0,0,0,1,0,0
108,100,2013,9,3,86.0,70.0,53.0,57.0,48.0,45.0,82.0,60.0,23.0,29.87,29.83,29.75,10.0,10.0,10.0,12.0,2.0,14.0,0.0,0.0,324.0,0,0,1,0,0,0,86.0,70.0,53.0,57.0,48.0,45.0,82.0,60.0,23.0,29.87,29.83,29.75,10.0,10.0,10.0,12.0,2.0,14.0,0.0,0.0,324.0,0,0,1,0,0,86.0,70.0,53.0,57.0,48.0,45.0,82.0,60.0,23.0,29.87,29.83,29.75,10.0,10.0,10.0,12.0,2.0,14.0,0.0,0.0,324.0,0,0,1,0,0
114,100,2013,9,4,75.0,67.0,59.0,59.0,54.0,46.0,88.0,71.0,53.0,29.89,29.83,29.8,10.0,10.0,10.0,14.0,4.0,22.0,0.0,5.0,240.0,0,0,1,0,0,0,75.0,67.0,59.0,59.0,54.0,46.0,88.0,71.0,53.0,29.89,29.83,29.8,10.0,10.0,10.0,14.0,4.0,22.0,0.0,5.0,240.0,0,0,1,0,0,75.0,67.0,59.0,59.0,54.0,46.0,88.0,71.0,53.0,29.89,29.83,29.8,10.0,10.0,10.0,14.0,4.0,22.0,0.0,5.0,240.0,0,0,1,0,0
119,100,2013,9,5,66.0,62.0,59.0,59.0,57.0,55.0,88.0,81.0,68.0,29.92,29.86,29.83,10.0,9.0,2.0,12.0,6.0,14.0,0.0,4.0,216.0,0,0,0,1,0,1,66.0,62.0,59.0,59.0,57.0,55.0,88.0,81.0,68.0,29.92,29.86,29.83,10.0,9.0,2.0,12.0,6.0,14.0,0.0,4.0,216.0,0,0,0,1,0,66.0,62.0,59.0,59.0,57.0,55.0,88.0,81.0,68.0,29.92,29.86,29.83,10.0,9.0,2.0,12.0,6.0,14.0,0.0,4.0,216.0,0,0,0,1,0
123,100,2013,9,6,71.0,63.0,55.0,55.0,53.0,48.0,94.0,78.0,43.0,30.02,29.97,29.91,10.0,10.0,10.0,15.0,5.0,23.0,0.0,1.0,296.0,0,0,1,0,0,1,71.0,63.0,55.0,55.0,53.0,48.0,94.0,78.0,43.0,30.02,29.97,29.91,10.0,10.0,10.0,15.0,5.0,23.0,0.0,1.0,296.0,0,0,1,0,0,71.0,63.0,55.0,55.0,53.0,48.0,94.0,78.0,43.0,30.02,29.97,29.91,10.0,10.0,10.0,15.0,5.0,23.0,0.0,1.0,296.0,0,0,1,0,0
129,100,2013,9,0,80.0,68.0,55.0,57.0,53.0,50.0,82.0,68.0,39.0,30.04,29.99,29.95,10.0,10.0,10.0,14.0,4.0,20.0,0.0,0.0,288.0,0,0,1,0,0,0,80.0,68.0,55.0,57.0,53.0,50.0,82.0,68.0,39.0,30.04,29.99,29.95,10.0,10.0,10.0,14.0,4.0,20.0,0.0,0.0,288.0,0,0,1,0,0,80.0,68.0,55.0,57.0,53.0,50.0,82.0,68.0,39.0,30.04,29.99,29.95,10.0,10.0,10.0,14.0,4.0,20.0,0.0,0.0,288.0,0,0,1,0,0
132,100,2013,9,1,71.0,65.0,59.0,55.0,52.0,46.0,82.0,66.0,43.0,30.02,29.97,29.94,10.0,10.0,10.0,23.0,7.0,31.0,0.0,1.0,292.0,0,0,1,0,0,0,71.0,65.0,59.0,55.0,52.0,46.0,82.0,66.0,43.0,30.02,29.97,29.94,10.0,10.0,10.0,23.0,7.0,31.0,0.0,1.0,292.0,0,0,1,0,0,71.0,65.0,59.0,55.0,52.0,46.0,82.0,66.0,43.0,30.02,29.97,29.94,10.0,10.0,10.0,23.0,7.0,31.0,0.0,1.0,292.0,0,0,1,0,0
135,100,2013,9,2,66.0,60.0,55.0,61.0,48.0,41.0,88.0,67.0,42.0,29.96,29.92,29.86,10.0,10.0,10.0,20.0,12.0,29.0,0.0,0.0,294.0,0,0,1,0,0,0,66.0,60.0,55.0,61.0,48.0,41.0,88.0,67.0,42.0,29.96,29.92,29.86,10.0,10.0,10.0,20.0,12.0,29.0,0.0,0.0,294.0,0,0,1,0,0,66.0,60.0,55.0,61.0,48.0,41.0,88.0,67.0,42.0,29.96,29.92,29.86,10.0,10.0,10.0,20.0,12.0,29.0,0.0,0.0,294.0,0,0,1,0,0
140,100,2013,9,3,73.0,64.0,55.0,46.0,41.0,32.0,72.0,53.0,22.0,29.99,29.91,29.86,10.0,10.0,10.0,14.0,5.0,17.0,0.0,0.0,287.0,0,0,1,0,0,0,73.0,64.0,55.0,46.0,41.0,32.0,72.0,53.0,22.0,29.99,29.91,29.86,10.0,10.0,10.0,14.0,5.0,17.0,0.0,0.0,287.0,0,0,1,0,0,73.0,64.0,55.0,46.0,41.0,32.0,72.0,53.0,22.0,29.99,29.91,29.86,10.0,10.0,10.0,14.0,5.0,17.0,0.0,0.0,287.0,0,0,1,0,0
148,100,2013,9,4,77.0,64.0,51.0,48.0,40.0,28.0,77.0,50.0,17.0,30.11,30.05,30.0,10.0,10.0,10.0,12.0,1.0,14.0,0.0,1.0,279.0,0,0,1,0,0,0,77.0,64.0,51.0,48.0,40.0,28.0,77.0,50.0,17.0,30.11,30.05,30.0,10.0,10.0,10.0,12.0,1.0,14.0,0.0,1.0,279.0,0,0,1,0,0,77.0,64.0,51.0,48.0,40.0,28.0,77.0,50.0,17.0,30.11,30.05,30.0,10.0,10.0,10.0,12.0,1.0,14.0,0.0,1.0,279.0,0,0,1,0,0
150,100,2013,9,5,80.0,66.0,53.0,64.0,45.0,36.0,82.0,58.0,20.0,30.11,30.07,30.01,10.0,10.0,10.0,16.0,3.0,21.0,0.0,0.0,297.0,0,0,1,0,0,1,80.0,66.0,53.0,64.0,45.0,36.0,82.0,58.0,20.0,30.11,30.07,30.01,10.0,10.0,10.0,16.0,3.0,21.0,0.0,0.0,297.0,0,0,1,0,0,80.0,66.0,53.0,64.0,45.0,36.0,82.0,58.0,20.0,30.11,30.07,30.01,10.0,10.0,10.0,16.0,3.0,21.0,0.0,0.0,297.0,0,0,1,0,0
159,100,2013,9,6,75.0,65.0,55.0,59.0,55.0,50.0,88.0,76.0,50.0,30.13,30.1,30.06,10.0,10.0,10.0,12.0,3.0,16.0,0.0,1.0,295.0,0,0,1,0,0,1,75.0,65.0,55.0,59.0,55.0,50.0,88.0,76.0,50.0,30.13,30.1,30.06,10.0,10.0,10.0,12.0,3.0,16.0,0.0,1.0,295.0,0,0,1,0,0,75.0,65.0,55.0,59.0,55.0,50.0,88.0,76.0,50.0,30.13,30.1,30.06,10.0,10.0,10.0,12.0,3.0,16.0,0.0,1.0,295.0,0,0,1,0,0
164,100,2013,9,0,73.0,66.0,60.0,61.0,55.0,41.0,88.0,73.0,45.0,30.09,30.05,29.98,10.0,10.0,9.0,14.0,4.0,17.0,0.0,4.0,2772.0,0,0,1,0,0,0,73.0,66.0,60.0,61.0,55.0,41.0,88.0,73.0,45.0,30.09,30.05,29.98,10.0,10.0,9.0,14.0,4.0,17.0,0.0,4.0,2772.0,0,0,1,0,0,73.0,66.0,60.0,61.0,55.0,41.0,88.0,73.0,45.0,30.09,30.05,29.98,10.0,10.0,9.0,14.0,4.0,17.0,0.0,4.0,2772.0,0,0,1,0,0
165,100,2013,10,1,71.0,64.0,57.0,50.0,47.0,41.0,77.0,62.0,41.0,30.04,29.99,29.94,10.0,10.0,8.0,13.0,7.0,16.0,0.0,3.0,287.0,0,0,1,0,0,0,71.0,64.0,57.0,50.0,47.0,41.0,77.0,62.0,41.0,30.04,29.99,29.94,10.0,10.0,8.0,13.0,7.0,16.0,0.0,3.0,287.0,0,0,1,0,0,71.0,64.0,57.0,50.0,47.0,41.0,77.0,62.0,41.0,30.04,29.99,29.94,10.0,10.0,8.0,13.0,7.0,16.0,0.0,3.0,287.0,0,0,1,0,0
173,100,2013,10,2,71.0,63.0,55.0,55.0,45.0,39.0,77.0,62.0,37.0,30.03,29.98,29.94,10.0,10.0,10.0,20.0,4.0,22.0,0.0,1.0,298.0,0,0,1,0,0,0,71.0,63.0,55.0,55.0,45.0,39.0,77.0,62.0,37.0,30.03,29.98,29.94,10.0,10.0,10.0,20.0,4.0,22.0,0.0,1.0,298.0,0,0,1,0,0,71.0,63.0,55.0,55.0,45.0,39.0,77.0,62.0,37.0,30.03,29.98,29.94,10.0,10.0,10.0,20.0,4.0,22.0,0.0,1.0,298.0,0,0,1,0,0
175,100,2013,10,3,71.0,63.0,55.0,41.0,38.0,32.0,58.0,45.0,25.0,30.09,30.03,29.96,10.0,10.0,10.0,15.0,8.0,16.0,0.0,0.0,302.0,0,0,1,0,0,0,71.0,63.0,55.0,41.0,38.0,32.0,58.0,45.0,25.0,30.09,30.03,29.96,10.0,10.0,10.0,15.0,8.0,16.0,0.0,0.0,302.0,0,0,1,0,0,71.0,63.0,55.0,41.0,38.0,32.0,58.0,45.0,25.0,30.09,30.03,29.96,10.0,10.0,10.0,15.0,8.0,16.0,0.0,0.0,302.0,0,0,1,0,0
184,100,2013,10,4,77.0,68.0,59.0,48.0,38.0,32.0,51.0,38.0,21.0,30.1,30.04,29.99,10.0,10.0,10.0,16.0,6.0,21.0,0.0,0.0,22.0,0,0,1,0,0,0,77.0,68.0,59.0,48.0,38.0,32.0,51.0,38.0,21.0,30.1,30.04,29.99,10.0,10.0,10.0,16.0,6.0,21.0,0.0,0.0,22.0,0,0,1,0,0,77.0,68.0,59.0,48.0,38.0,32.0,51.0,38.0,21.0,30.1,30.04,29.99,10.0,10.0,10.0,16.0,6.0,21.0,0.0,0.0,22.0,0,0,1,0,0
189,100,2013,10,5,82.0,68.0,55.0,46.0,33.0,25.0,51.0,33.0,12.0,30.21,30.14,30.11,10.0,10.0,10.0,7.0,1.0,10.0,0.0,0.0,236.0,0,0,1,0,0,1,82.0,68.0,55.0,46.0,33.0,25.0,51.0,33.0,12.0,30.21,30.14,30.11,10.0,10.0,10.0,7.0,1.0,10.0,0.0,0.0,236.0,0,0,1,0,0,82.0,68.0,55.0,46.0,33.0,25.0,51.0,33.0,12.0,30.21,30.14,30.11,10.0,10.0,10.0,7.0,1.0,10.0,0.0,0.0,236.0,0,0,1,0,0
190,100,2013,10,6,82.0,68.0,53.0,55.0,37.0,23.0,68.0,41.0,11.0,30.13,30.07,30.01,10.0,10.0,10.0,12.0,1.0,14.0,0.0,2.0,335.0,0,0,1,0,0,1,82.0,68.0,53.0,55.0,37.0,23.0,68.0,41.0,11.0,30.13,30.07,30.01,10.0,10.0,10.0,12.0,1.0,14.0,0.0,2.0,335.0,0,0,1,0,0,82.0,68.0,53.0,55.0,37.0,23.0,68.0,41.0,11.0,30.13,30.07,30.01,10.0,10.0,10.0,12.0,1.0,14.0,0.0,2.0,335.0,0,0,1,0,0
199,100,2013,10,0,82.0,68.0,55.0,52.0,39.0,32.0,63.0,43.0,16.0,30.01,29.96,29.89,10.0,10.0,10.0,12.0,2.0,14.0,0.0,1.0,292.0,0,0,1,0,0,0,82.0,68.0,55.0,52.0,39.0,32.0,63.0,43.0,16.0,30.01,29.96,29.89,10.0,10.0,10.0,12.0,2.0,14.0,0.0,1.0,292.0,0,0,1,0,0,82.0,68.0,55.0,52.0,39.0,32.0,63.0,43.0,16.0,30.01,29.96,29.89,10.0,10.0,10.0,12.0,2.0,14.0,0.0,1.0,292.0,0,0,1,0,0
203,100,2013,10,1,73.0,62.0,51.0,54.0,46.0,39.0,82.0,65.0,35.0,29.92,29.85,29.75,10.0,10.0,8.0,15.0,2.0,20.0,0.0,2.0,279.0,0,0,1,0,0,0,73.0,62.0,51.0,54.0,46.0,39.0,82.0,65.0,35.0,29.92,29.85,29.75,10.0,10.0,8.0,15.0,2.0,20.0,0.0,2.0,279.0,0,0,1,0,0,73.0,62.0,51.0,54.0,46.0,39.0,82.0,65.0,35.0,29.92,29.85,29.75,10.0,10.0,8.0,15.0,2.0,20.0,0.0,2.0,279.0,0,0,1,0,0
