,total_docks,year,month,weekday,max_temperature_f_x,mean_temperature_f_x,min_temperature_f_x,max_dew_point_f_x,mean_dew_point_f_x,min_dew_point_f_x,max_humidity_x,mean_humidity_x,min_humidity_x,max_sea_level_pressure_inches_x,mean_sea_level_pressure_inches_x,min_sea_level_pressure_inches_x,max_visibility_miles_x,mean_visibility_miles_x,min_visibility_miles_x,max_wind_Speed_mph_x,mean_wind_speed_mph_x,max_gust_speed_mph_x,precipitation_inches_x,cloud_cover_x,wind_dir_degrees_x,Fog_x,Fog-Rain_x,Normal_x,Rain_x,Rain-Thunderstorm_x,weekend,max_temperature_f_y,mean_temperature_f_y,min_temperature_f_y,max_dew_point_f_y,mean_dew_point_f_y,min_dew_point_f_y,max_humidity_y,mean_humidity_y,min_humidity_y,max_sea_level_pressure_inches_y,mean_sea_level_pressure_inches_y,min_sea_level_pressure_inches_y,max_visibility_miles_y,mean_visibility_miles_y,min_visibility_miles_y,max_wind_Speed_mph_y,mean_wind_speed_mph_y,max_gust_speed_mph_y,precipitation_inches_y,cloud_cover_y,wind_dir_degrees_y,Fog_y,Fog-Rain_y,Normal_y,Rain_y,Rain-Thunderstorm_y,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm
929,115,2014,3,0,66.0,60.0,55.0,54.0,49.0,45.0,88.0,70.0,49.0,30.25,30.17,30.11,10.0,10.0,10.0,14.0,5.0,18.0,0.0,4.0,310.0,0,0,1,0,0,0,66.0,60.0,55.0,54.0,49.0,45.0,88.0,70.0,49.0,30.25,30.17,30.11,10.0,10.0,10.0,14.0,5.0,18.0,0.0,4.0,310.0,0,0,1,0,0,66.0,60.0,55.0,54.0,49.0,45.0,88.0,70.0,49.0,30.25,30.17,30.11,10.0,10.0,10.0,14.0,5.0,18.0,0.0,4.0,310.0,0,0,1,0,0
932,115,2014,3,1,68.0,59.0,50.0,46.0,39.0,28.0,77.0,51.0,27.0,30.21,30.12,30.03,10.0,10.0,10.0,15.0,6.0,20.0,0.0,0.0,341.0,0,0,1,0,0,0,68.0,59.0,50.0,46.0,39.0,28.0,77.0,51.0,27.0,30.21,30.12,30.03,10.0,10.0,10.0,15.0,6.0,20.0,0.0,0.0,341.0,0,0,1,0,0,68.0,59.0,50.0,46.0,39.0,28.0,77.0,51.0,27.0,30.21,30.12,30.03,10.0,10.0,10.0,15.0,6.0,20.0,0.0,0.0,341.0,0,0,1,0,0
941,115,2014,3,2,71.0,63.0,55.0,45.0,36.0,28.0,55.0,39.0,24.0,30.11,30.04,30.0,10.0,10.0,8.0,18.0,9.0,20.0,0.0,0.0,18.0,0,0,1,0,0,0,71.0,63.0,55.0,45.0,36.0,28.0,55.0,39.0,24.0,30.11,30.04,30.0,10.0,10.0,8.0,18.0,9.0,20.0,0.0,0.0,18.0,0,0,1,0,0,71.0,63.0,55.0,45.0,36.0,28.0,55.0,39.0,24.0,30.11,30.04,30.0,10.0,10.0,8.0,18.0,9.0,20.0,0.0,0.0,18.0,0,0,1,0,0
942,115,2014,3,3,77.0,64.0,50.0,46.0,36.0,27.0,72.0,47.0,17.0,30.08,30.04,29.98,10.0,10.0,5.0,10.0,2.0,13.0,0.0,0.0,310.0,0,0,1,0,0,0,77.0,64.0,50.0,46.0,36.0,27.0,72.0,47.0,17.0,30.08,30.04,29.98,10.0,10.0,5.0,10.0,2.0,13.0,0.0,0.0,310.0,0,0,1,0,0,77.0,64.0,50.0,46.0,36.0,27.0,72.0,47.0,17.0,30.08,30.04,29.98,10.0,10.0,5.0,10.0,2.0,13.0,0.0,0.0,310.0,0,0,1,0,0
947,115,2014,3,4,69.0,58.0,48.0,52.0,46.0,41.0,87.0,72.0,46.0,30.24,30.15,30.09,10.0,10.0,7.0,10.0,3.0,13.0,0.0,1.0,295.0,0,0,1,0,0,0,69.0,58.0,48.0,52.0,46.0,41.0,87.0,72.0,46.0,30.24,30.15,30.09,10.0,10.0,7.0,10.0,3.0,13.0,0.0,1.0,295.0,0,0,1,0,0,69.0,58.0,48.0,52.0,46.0,41.0,87.0,72.0,46.0,30.24,30.15,30.09,10.0,10.0,7.0,10.0,3.0,13.0,0.0,1.0,295.0,0,0,1,0,0
953,115,2014,3,5,77.0,62.0,48.0,54.0,47.0,41.0,94.0,71.0,28.0,30.31,30.27,30.23,10.0,10.0,10.0,9.0,2.0,12.0,0.0,0.0,330.0,0,0,1,0,0,1,77.0,62.0,48.0,54.0,47.0,41.0,94.0,71.0,28.0,30.31,30.27,30.23,10.0,10.0,10.0,9.0,2.0,12.0,0.0,0.0,330.0,0,0,1,0,0,77.0,62.0,48.0,54.0,47.0,41.0,94.0,71.0,28.0,30.31,30.27,30.23,10.0,10.0,10.0,9.0,2.0,12.0,0.0,0.0,330.0,0,0,1,0,0
957,115,2014,3,6,75.0,62.0,50.0,55.0,46.0,41.0,82.0,70.0,29.0,30.32,30.28,30.2,10.0,10.0,10.0,12.0,2.0,17.0,0.0,1.0,313.0,0,0,1,0,0,1,75.0,62.0,50.0,55.0,46.0,41.0,82.0,70.0,29.0,30.32,30.28,30.2,10.0,10.0,10.0,12.0,2.0,17.0,0.0,1.0,313.0,0,0,1,0,0,75.0,62.0,50.0,55.0,46.0,41.0,82.0,70.0,29.0,30.32,30.28,30.2,10.0,10.0,10.0,12.0,2.0,17.0,0.0,1.0,313.0,0,0,1,0,0
965,115,2014,3,0,66.0,60.0,53.0,48.0,44.0,41.0,82.0,66.0,43.0,30.26,30.13,29.99,10.0,10.0,10.0,22.0,10.0,29.0,0.0,2.0,295.0,0,0,1,0,0,0,66.0,60.0,53.0,48.0,44.0,41.0,82.0,66.0,43.0,30.26,30.13,29.99,10.0,10.0,10.0,22.0,10.0,29.0,0.0,2.0,295.0,0,0,1,0,0,66.0,60.0,53.0,48.0,44.0,41.0,82.0,66.0,43.0,30.26,30.13,29.99,10.0,10.0,10.0,22.0,10.0,29.0,0.0,2.0,295.0,0,0,1,0,0
969,115,2014,3,1,68.0,57.0,46.0,43.0,37.0,27.0,76.0,58.0,24.0,29.99,29.96,29.91,10.0,10.0,10.0,12.0,1.0,14.0,0.0,1.0,279.0,0,0,1,0,0,0,68.0,57.0,46.0,43.0,37.0,27.0,76.0,58.0,24.0,29.99,29.96,29.91,10.0,10.0,10.0,12.0,1.0,14.0,0.0,1.0,279.0,0,0,1,0,0,68.0,57.0,46.0,43.0,37.0,27.0,76.0,58.0,24.0,29.99,29.96,29.91,10.0,10.0,10.0,12.0,1.0,14.0,0.0,1.0,279.0,0,0,1,0,0
971,115,2014,3,2,71.0,58.0,46.0,46.0,38.0,32.0,71.0,52.0,28.0,30.1,30.03,29.98,10.0,10.0,10.0,8.0,2.0,10.0,0.0,1.0,328.0,0,0,1,0,0,0,71.0,58.0,46.0,46.0,38.0,32.0,71.0,52.0,28.0,30.1,30.03,29.98,10.0,10.0,10.0,8.0,2.0,10.0,0.0,1.0,328.0,0,0,1,0,0,71.0,58.0,46.0,46.0,38.0,32.0,71.0,52.0,28.0,30.1,30.03,29.98,10.0,10.0,10.0,8.0,2.0,10.0,0.0,1.0,328.0,0,0,1,0,0
977,115,2014,3,3,69.0,61.0,53.0,54.0,42.0,39.0,68.0,57.0,38.0,30.07,30.02,29.95,10.0,10.0,10.0,13.0,2.0,16.0,0.0,2.0,307.0,0,0,1,0,0,0,69.0,61.0,53.0,54.0,42.0,39.0,68.0,57.0,38.0,30.07,30.02,29.95,10.0,10.0,10.0,13.0,2.0,16.0,0.0,2.0,307.0,0,0,1,0,0,69.0,61.0,53.0,54.0,42.0,39.0,68.0,57.0,38.0,30.07,30.02,29.95,10.0,10.0,10.0,13.0,2.0,16.0,0.0,2.0,307.0,0,0,1,0,0
988,115,2014,3,5,66.0,56.0,46.0,50.0,44.0,41.0,87.0,73.0,52.0,30.13,30.06,30.0,10.0,10.0,6.0,12.0,3.0,14.0,0.0,4.0,284.0,0,0,1,0,0,1,66.0,56.0,46.0,50.0,44.0,41.0,87.0,73.0,52.0,30.13,30.06,30.0,10.0,10.0,6.0,12.0,3.0,14.0,0.0,4.0,284.0,0,0,1,0,0,66.0,56.0,46.0,50.0,44.0,41.0,87.0,73.0,52.0,30.13,30.06,30.0,10.0,10.0,6.0,12.0,3.0,14.0,0.0,4.0,284.0,0,0,1,0,0
990,115,2014,3,6,66.0,57.0,48.0,52.0,45.0,43.0,87.0,75.0,46.0,30.19,30.14,30.09,10.0,10.0,7.0,12.0,2.0,14.0,0.0,3.0,300.0,0,0,1,0,0,1,66.0,57.0,48.0,52.0,45.0,43.0,87.0,75.0,46.0,30.19,30.14,30.09,10.0,10.0,7.0,12.0,2.0,14.0,0.0,3.0,300.0,0,0,1,0,0,66.0,57.0,48.0,52.0,45.0,43.0,87.0,75.0,46.0,30.19,30.14,30.09,10.0,10.0,7.0,12.0,2.0,14.0,0.0,3.0,300.0,0,0,1,0,0
1001,115,2014,3,1,62.0,53.0,44.0,55.0,42.0,32.0,88.0,66.0,47.0,30.07,29.99,29.89,10.0,10.0,4.0,12.0,5.0,17.0,0.0,3.0,265.0,0,0,0,1,0,0,62.0,53.0,44.0,55.0,42.0,32.0,88.0,66.0,47.0,30.07,29.99,29.89,10.0,10.0,4.0,12.0,5.0,17.0,0.0,3.0,265.0,0,0,0,1,0,62.0,53.0,44.0,55.0,42.0,32.0,88.0,66.0,47.0,30.07,29.99,29.89,10.0,10.0,4.0,12.0,5.0,17.0,0.0,3.0,265.0,0,0,0,1,0
1004,115,2014,3,2,60.0,55.0,50.0,50.0,48.0,46.0,88.0,79.0,63.0,30.0,29.88,29.83,10.0,9.0,2.0,16.0,6.0,20.0,0.0,5.0,232.0,0,0,0,1,0,0,60.0,55.0,50.0,50.0,48.0,46.0,88.0,79.0,63.0,30.0,29.88,29.83,10.0,9.0,2.0,16.0,6.0,20.0,0.0,5.0,232.0,0,0,0,1,0,60.0,55.0,50.0,50.0,48.0,46.0,88.0,79.0,63.0,30.0,29.88,29.83,10.0,9.0,2.0,16.0,6.0,20.0,0.0,5.0,232.0,0,0,0,1,0
1011,115,2014,3,3,62.0,58.0,53.0,50.0,47.0,41.0,88.0,71.0,45.0,30.15,30.06,29.99,10.0,10.0,5.0,13.0,3.0,16.0,0.03,7.0,227.0,0,0,0,1,0,0,62.0,58.0,53.0,50.0,47.0,41.0,88.0,71.0,45.0,30.15,30.06,29.99,10.0,10.0,5.0,13.0,3.0,16.0,0.03,7.0,227.0,0,0,0,1,0,62.0,58.0,53.0,50.0,47.0,41.0,88.0,71.0,45.0,30.15,30.06,29.99,10.0,10.0,5.0,13.0,3.0,16.0,0.03,7.0,227.0,0,0,0,1,0
1015,115,2014,3,4,68.0,60.0,53.0,50.0,48.0,46.0,88.0,71.0,52.0,30.2,30.15,30.12,10.0,10.0,10.0,14.0,4.0,17.0,0.0,4.0,186.0,0,0,1,0,0,0,68.0,60.0,53.0,50.0,48.0,46.0,88.0,71.0,52.0,30.2,30.15,30.12,10.0,10.0,10.0,14.0,4.0,17.0,0.0,4.0,186.0,0,0,1,0,0,68.0,60.0,53.0,50.0,48.0,46.0,88.0,71.0,52.0,30.2,30.15,30.12,10.0,10.0,10.0,14.0,4.0,17.0,0.0,4.0,186.0,0,0,1,0,0
1023,115,2014,3,6,59.0,54.0,48.0,46.0,45.0,39.0,87.0,78.0,48.0,30.15,30.1,30.06,10.0,10.0,10.0,12.0,6.0,14.0,0.0,2.0,274.0,0,0,1,0,0,1,59.0,54.0,48.0,46.0,45.0,39.0,87.0,78.0,48.0,30.15,30.1,30.06,10.0,10.0,10.0,12.0,6.0,14.0,0.0,2.0,274.0,0,0,1,0,0,59.0,54.0,48.0,46.0,45.0,39.0,87.0,78.0,48.0,30.15,30.1,30.06,10.0,10.0,10.0,12.0,6.0,14.0,0.0,2.0,274.0,0,0,1,0,0
1029,115,2014,3,0,55.0,50.0,44.0,48.0,43.0,41.0,94.0,84.0,67.0,30.09,29.97,29.86,10.0,9.0,1.0,20.0,4.0,24.0,0.0,4.0,164.0,0,0,0,1,0,0,55.0,50.0,44.0,48.0,43.0,41.0,94.0,84.0,67.0,30.09,29.97,29.86,10.0,9.0,1.0,20.0,4.0,24.0,0.0,4.0,164.0,0,0,0,1,0,55.0,50.0,44.0,48.0,43.0,41.0,94.0,84.0,67.0,30.09,29.97,29.86,10.0,9.0,1.0,20.0,4.0,24.0,0.0,4.0,164.0,0,0,0,1,0
1041,115,2014,4,2,59.0,52.0,44.0,45.0,42.0,39.0,93.0,76.0,48.0,30.12,30.01,29.89,10.0,10.0,3.0,10.0,4.0,13.0,0.02,4.0,282.0,0,0,0,1,0,0,59.0,52.0,44.0,45.0,42.0,39.0,93.0,76.0,48.0,30.12,30.01,29.89,10.0,10.0,3.0,10.0,4.0,13.0,0.02,4.0,282.0,0,0,0,1,0,59.0,52.0,44.0,45.0,42.0,39.0,93.0,76.0,48.0,30.12,30.01,29.89,10.0,10.0,3.0,10.0,4.0,13.0,0.02,4.0,282.0,0,0,0,1,0
1042,115,2014,4,3,62.0,53.0,44.0,48.0,43.0,39.0,87.0,75.0,42.0,30.13,30.1,30.04,10.0,10.0,10.0,13.0,3.0,17.0,0.0,3.0,204.0,0,0,1,0,0,0,62.0,53.0,44.0,48.0,43.0,39.0,87.0,75.0,42.0,30.13,30.1,30.04,10.0,10.0,10.0,13.0,3.0,17.0,0.0,3.0,204.0,0,0,1,0,0,62.0,53.0,44.0,48.0,43.0,39.0,87.0,75.0,42.0,30.13,30.1,30.04,10.0,10.0,10.0,13.0,3.0,17.0,0.0,3.0,204.0,0,0,1,0,0
1047,115,2014,4,4,57.0,54.0,50.0,48.0,46.0,41.0,94.0,79.0,55.0,30.07,30.03,29.99,10.0,9.0,2.0,13.0,7.0,21.0,0.04,6.0,260.0,0,0,0,1,0,0,57.0,54.0,50.0,48.0,46.0,41.0,94.0,79.0,55.0,30.07,30.03,29.99,10.0,9.0,2.0,13.0,7.0,21.0,0.04,6.0,260.0,0,0,0,1,0,57.0,54.0,50.0,48.0,46.0,41.0,94.0,79.0,55.0,30.07,30.03,29.99,10.0,9.0,2.0,13.0,7.0,21.0,0.04,6.0,260.0,0,0,0,1,0
1053,115,2014,4,5,64.0,56.0,48.0,50.0,46.0,43.0,93.0,75.0,52.0,30.21,30.13,30.07,10.0,10.0,10.0,17.0,5.0,22.0,0.0,2.0,288.0,0,0,1,0,0,1,64.0,56.0,48.0,50.0,46.0,43.0,93.0,75.0,52.0,30.21,30.13,30.07,10.0,10.0,10.0,17.0,5.0,22.0,0.0,2.0,288.0,0,0,1,0,0,64.0,56.0,48.0,50.0,46.0,43.0,93.0,75.0,52.0,30.21,30.13,30.07,10.0,10.0,10.0,17.0,5.0,22.0,0.0,2.0,288.0,0,0,1,0,0
1057,115,2014,4,6,77.0,62.0,48.0,52.0,46.0,45.0,87.0,69.0,34.0,30.25,30.19,30.11,10.0,10.0,10.0,10.0,1.0,13.0,0.0,0.0,318.0,0,0,1,0,0,1,77.0,62.0,48.0,52.0,46.0,45.0,87.0,69.0,34.0,30.25,30.19,30.11,10.0,10.0,10.0,10.0,1.0,13.0,0.0,0.0,318.0,0,0,1,0,0,77.0,62.0,48.0,52.0,46.0,45.0,87.0,69.0,34.0,30.25,30.19,30.11,10.0,10.0,10.0,10.0,1.0,13.0,0.0,0.0,318.0,0,0,1,0,0
1066,115,2014,4,0,80.0,66.0,53.0,55.0,49.0,48.0,82.0,62.0,34.0,30.16,30.11,30.06,10.0,10.0,2.0,13.0,1.0,16.0,0.0,0.0,327.0,0,0,1,0,0,0,80.0,66.0,53.0,55.0,49.0,48.0,82.0,62.0,34.0,30.16,30.11,30.06,10.0,10.0,2.0,13.0,1.0,16.0,0.0,0.0,327.0,0,0,1,0,0,80.0,66.0,53.0,55.0,49.0,48.0,82.0,62.0,34.0,30.16,30.11,30.06,10.0,10.0,2.0,13.0,1.0,16.0,0.0,0.0,327.0,0,0,1,0,0
1069,115,2014,4,1,82.0,70.0,57.0,59.0,52.0,46.0,88.0,68.0,30.0,30.12,30.07,30.02,10.0,10.0,10.0,13.0,3.0,16.0,0.0,1.0,339.0,0,0,1,0,0,0,82.0,70.0,57.0,59.0,52.0,46.0,88.0,68.0,30.0,30.12,30.07,30.02,10.0,10.0,10.0,13.0,3.0,16.0,0.0,1.0,339.0,0,0,1,0,0,82.0,70.0,57.0,59.0,52.0,46.0,88.0,68.0,30.0,30.12,30.07,30.02,10.0,10.0,10.0,13.0,3.0,16.0,0.0,1.0,339.0,0,0,1,0,0
1075,115,2014,4,2,68.0,60.0,51.0,55.0,50.0,46.0,88.0,77.0,52.0,30.11,30.06,30.0,10.0,10.0,7.0,10.0,4.0,13.0,0.0,2.0,335.0,0,0,1,0,0,0,68.0,60.0,51.0,55.0,50.0,46.0,88.0,77.0,52.0,30.11,30.06,30.0,10.0,10.0,7.0,10.0,4.0,13.0,0.0,2.0,335.0,0,0,1,0,0,68.0,60.0,51.0,55.0,50.0,46.0,88.0,77.0,52.0,30.11,30.06,30.0,10.0,10.0,7.0,10.0,4.0,13.0,0.0,2.0,335.0,0,0,1,0,0
1082,115,2014,4,4,66.0,60.0,53.0,54.0,50.0,48.0,88.0,80.0,56.0,29.96,29.92,29.85,10.0,10.0,8.0,12.0,4.0,14.0,0.0,4.0,307.0,0,0,1,0,0,0,66.0,60.0,53.0,54.0,50.0,48.0,88.0,80.0,56.0,29.96,29.92,29.85,10.0,10.0,8.0,12.0,4.0,14.0,0.0,4.0,307.0,0,0,1,0,0,66.0,60.0,53.0,54.0,50.0,48.0,88.0,80.0,56.0,29.96,29.92,29.85,10.0,10.0,8.0,12.0,4.0,14.0,0.0,4.0,307.0,0,0,1,0,0
1087,115,2014,4,5,66.0,58.0,50.0,50.0,47.0,45.0,82.0,73.0,52.0,29.97,29.91,29.87,10.0,10.0,10.0,16.0,4.0,20.0,0.0,4.0,236.0,0,0,1,0,0,1,66.0,58.0,50.0,50.0,47.0,45.0,82.0,73.0,52.0,29.97,29.91,29.87,10.0,10.0,10.0,16.0,4.0,20.0,0.0,4.0,236.0,0,0,1,0,0,66.0,58.0,50.0,50.0,47.0,45.0,82.0,73.0,52.0,29.97,29.91,29.87,10.0,10.0,10.0,16.0,4.0,20.0,0.0,4.0,236.0,0,0,1,0,0
1095,115,2014,4,0,69.0,60.0,51.0,54.0,49.0,46.0,88.0,77.0,49.0,30.13,30.07,30.03,10.0,10.0,7.0,12.0,4.0,14.0,0.0,3.0,320.0,0,0,1,0,0,0,69.0,60.0,51.0,54.0,49.0,46.0,88.0,77.0,49.0,30.13,30.07,30.03,10.0,10.0,7.0,12.0,4.0,14.0,0.0,3.0,320.0,0,0,1,0,0,69.0,60.0,51.0,54.0,49.0,46.0,88.0,77.0,49.0,30.13,30.07,30.03,10.0,10.0,7.0,12.0,4.0,14.0,0.0,3.0,320.0,0,0,1,0,0
1104,115,2014,4,1,69.0,60.0,51.0,54.0,47.0,43.0,88.0,72.0,46.0,30.08,30.01,29.91,10.0,10.0,7.0,14.0,5.0,17.0,0.0,2.0,291.0,0,0,1,0,0,0,69.0,60.0,51.0,54.0,47.0,43.0,88.0,72.0,46.0,30.08,30.01,29.91,10.0,10.0,7.0,14.0,5.0,17.0,0.0,2.0,291.0,0,0,1,0,0,69.0,60.0,51.0,54.0,47.0,43.0,88.0,72.0,46.0,30.08,30.01,29.91,10.0,10.0,7.0,14.0,5.0,17.0,0.0,2.0,291.0,0,0,1,0,0
1105,115,2014,4,2,77.0,64.0,50.0,52.0,47.0,45.0,87.0,66.0,34.0,29.94,29.9,29.82,10.0,9.0,5.0,14.0,3.0,17.0,0.0,2.0,302.0,0,0,1,0,0,0,77.0,64.0,50.0,52.0,47.0,45.0,87.0,66.0,34.0,29.94,29.9,29.82,10.0,9.0,5.0,14.0,3.0,17.0,0.0,2.0,302.0,0,0,1,0,0,77.0,64.0,50.0,52.0,47.0,45.0,87.0,66.0,34.0,29.94,29.9,29.82,10.0,9.0,5.0,14.0,3.0,17.0,0.0,2.0,302.0,0,0,1,0,0
1112,115,2014,4,3,66.0,60.0,53.0,50.0,48.0,45.0,82.0,70.0,52.0,29.89,29.85,29.81,10.0,10.0,8.0,22.0,5.0,28.0,0.0,1.0,265.0,0,0,1,0,0,0,66.0,60.0,53.0,50.0,48.0,45.0,82.0,70.0,52.0,29.89,29.85,29.81,10.0,10.0,8.0,22.0,5.0,28.0,0.0,1.0,265.0,0,0,1,0,0,66.0,60.0,53.0,50.0,48.0,45.0,82.0,70.0,52.0,29.89,29.85,29.81,10.0,10.0,8.0,22.0,5.0,28.0,0.0,1.0,265.0,0,0,1,0,0
1119,115,2014,4,4,66.0,58.0,50.0,54.0,46.0,41.0,87.0,69.0,49.0,29.97,29.92,29.88,10.0,10.0,10.0,16.0,7.0,21.0,0.0,1.0,294.0,0,0,1,0,0,0,66.0,58.0,50.0,54.0,46.0,41.0,87.0,69.0,49.0,29.97,29.92,29.88,10.0,10.0,10.0,16.0,7.0,21.0,0.0,1.0,294.0,0,0,1,0,0,66.0,58.0,50.0,54.0,46.0,41.0,87.0,69.0,49.0,29.97,29.92,29.88,10.0,10.0,10.0,16.0,7.0,21.0,0.0,1.0,294.0,0,0,1,0,0
1123,115,2014,4,5,66.0,58.0,50.0,52.0,46.0,41.0,82.0,71.0,42.0,30.15,30.06,29.97,10.0,10.0,10.0,20.0,5.0,17.0,0.0,2.0,267.0,0,0,1,0,0,1,66.0,58.0,50.0,52.0,46.0,41.0,82.0,71.0,42.0,30.15,30.06,29.97,10.0,10.0,10.0,20.0,5.0,17.0,0.0,2.0,267.0,0,0,1,0,0,66.0,58.0,50.0,52.0,46.0,41.0,82.0,71.0,42.0,30.15,30.06,29.97,10.0,10.0,10.0,20.0,5.0,17.0,0.0,2.0,267.0,0,0,1,0,0
1125,115,2014,4,6,80.0,66.0,51.0,54.0,45.0,30.0,88.0,63.0,23.0,30.15,30.12,30.07,10.0,10.0,10.0,13.0,3.0,16.0,0.0,0.0,303.0,0,0,1,0,0,1,80.0,66.0,51.0,54.0,45.0,30.0,88.0,63.0,23.0,30.15,30.12,30.07,10.0,10.0,10.0,13.0,3.0,16.0,0.0,0.0,303.0,0,0,1,0,0,80.0,66.0,51.0,54.0,45.0,30.0,88.0,63.0,23.0,30.15,30.12,30.07,10.0,10.0,10.0,13.0,3.0,16.0,0.0,0.0,303.0,0,0,1,0,0
1131,115,2014,4,0,66.0,58.0,50.0,50.0,43.0,36.0,77.0,61.0,34.0,30.1,30.05,29.99,10.0,10.0,7.0,18.0,4.0,24.0,0.0,4.0,285.0,0,0,1,0,0,0,66.0,58.0,50.0,50.0,43.0,36.0,77.0,61.0,34.0,30.1,30.05,29.99,10.0,10.0,7.0,18.0,4.0,24.0,0.0,4.0,285.0,0,0,1,0,0,66.0,58.0,50.0,50.0,43.0,36.0,77.0,61.0,34.0,30.1,30.05,29.99,10.0,10.0,7.0,18.0,4.0,24.0,0.0,4.0,285.0,0,0,1,0,0
1136,115,2014,4,1,60.0,55.0,50.0,50.0,42.0,32.0,94.0,66.0,34.0,30.15,30.08,29.98,10.0,10.0,3.0,22.0,11.0,28.0,0.0,4.0,284.0,0,0,0,1,0,0,60.0,55.0,50.0,50.0,42.0,32.0,94.0,66.0,34.0,30.15,30.08,29.98,10.0,10.0,3.0,22.0,11.0,28.0,0.0,4.0,284.0,0,0,0,1,0,60.0,55.0,50.0,50.0,42.0,32.0,94.0,66.0,34.0,30.15,30.08,29.98,10.0,10.0,3.0,22.0,11.0,28.0,0.0,4.0,284.0,0,0,0,1,0
1144,115,2014,4,2,64.0,57.0,50.0,48.0,42.0,37.0,77.0,64.0,40.0,30.16,30.13,30.11,10.0,10.0,10.0,16.0,9.0,20.0,0.0,1.0,286.0,0,0,1,0,0,0,64.0,57.0,50.0,48.0,42.0,37.0,77.0,64.0,40.0,30.16,30.13,30.11,10.0,10.0,10.0,16.0,9.0,20.0,0.0,1.0,286.0,0,0,1,0,0,64.0,57.0,50.0,48.0,42.0,37.0,77.0,64.0,40.0,30.16,30.13,30.11,10.0,10.0,10.0,16.0,9.0,20.0,0.0,1.0,286.0,0,0,1,0,0
1145,115,2014,4,3,66.0,60.0,53.0,54.0,50.0,48.0,88.0,78.0,56.0,30.13,30.08,30.0,10.0,10.0,4.0,16.0,6.0,20.0,0.0,4.0,276.0,0,0,0,1,0,0,66.0,60.0,53.0,54.0,50.0,48.0,88.0,78.0,56.0,30.13,30.08,30.0,10.0,10.0,4.0,16.0,6.0,20.0,0.0,4.0,276.0,0,0,0,1,0,66.0,60.0,53.0,54.0,50.0,48.0,88.0,78.0,56.0,30.13,30.08,30.0,10.0,10.0,4.0,16.0,6.0,20.0,0.0,4.0,276.0,0,0,0,1,0
1151,115,2014,4,4,57.0,54.0,50.0,54.0,49.0,41.0,88.0,79.0,58.0,30.0,29.9,29.82,10.0,9.0,2.0,16.0,7.0,23.0,0.0,8.0,264.0,0,0,0,1,0,0,57.0,54.0,50.0,54.0,49.0,41.0,88.0,79.0,58.0,30.0,29.9,29.82,10.0,9.0,2.0,16.0,7.0,23.0,0.0,8.0,264.0,0,0,0,1,0,57.0,54.0,50.0,54.0,49.0,41.0,88.0,79.0,58.0,30.0,29.9,29.82,10.0,9.0,2.0,16.0,7.0,23.0,0.0,8.0,264.0,0,0,0,1,0
1156,115,2014,4,5,59.0,54.0,48.0,45.0,42.0,34.0,82.0,69.0,39.0,30.12,29.98,29.87,10.0,10.0,10.0,20.0,11.0,28.0,0.0,3.0,278.0,0,0,1,0,0,1,59.0,54.0,48.0,45.0,42.0,34.0,82.0,69.0,39.0,30.12,29.98,29.87,10.0,10.0,10.0,20.0,11.0,28.0,0.0,3.0,278.0,0,0,1,0,0,59.0,54.0,48.0,45.0,42.0,34.0,82.0,69.0,39.0,30.12,29.98,29.87,10.0,10.0,10.0,20.0,11.0,28.0,0.0,3.0,278.0,0,0,1,0,0
1160,115,2014,4,6,62.0,58.0,53.0,48.0,45.0,41.0,77.0,67.0,45.0,30.15,30.1,30.05,10.0,10.0,10.0,17.0,5.0,22.0,0.0,5.0,221.0,0,0,1,0,0,1,62.0,58.0,53.0,48.0,45.0,41.0,77.0,67.0,45.0,30.15,30.1,30.05,10.0,10.0,10.0,17.0,5.0,22.0,0.0,5.0,221.0,0,0,1,0,0,62.0,58.0,53.0,48.0,45.0,41.0,77.0,67.0,45.0,30.15,30.1,30.05,10.0,10.0,10.0,17.0,5.0,22.0,0.0,5.0,221.0,0,0,1,0,0
1168,115,2014,4,0,71.0,60.0,50.0,48.0,42.0,27.0,82.0,59.0,23.0,30.24,30.18,30.16,10.0,10.0,10.0,16.0,5.0,23.0,0.0,0.0,298.0,0,0,1,0,0,0,71.0,60.0,50.0,48.0,42.0,27.0,82.0,59.0,23.0,30.24,30.18,30.16,10.0,10.0,10.0,16.0,5.0,23.0,0.0,0.0,298.0,0,0,1,0,0,71.0,60.0,50.0,48.0,42.0,27.0,82.0,59.0,23.0,30.24,30.18,30.16,10.0,10.0,10.0,16.0,5.0,23.0,0.0,0.0,298.0,0,0,1,0,0
