,trips
3002,1113
3010,1027
3015,274
3016,171
3023,1045
3029,1219
3034,1165
3039,1200
3041,1056
3047,192
3051,190
3054,1101
3062,1183
3063,803
3072,1206
3074,1076
3081,309
3084,170
3091,1148
3092,1237
3101,1159
3106,1166
3107,1050
3115,254
3120,187
3125,1114
3128,1180
3133,1160
3136,1169
3145,1064
3146,290
3154,219
3156,1023
3161,1101
3169,1045
3171,871
3179,296
3181,196
3185,135
3194,1025
3197,1155
3204,1197
3209,1086
3210,1030
3219,266
3224,203
3225,1174
3233,1149
3236,1164
3241,1157
3245,1025
3252,235
3256,235
3257,1178
3266,1138
3271,1098
3273,1083
3281,1010
3282,216
3291,225
3293,1172
3298,1228
3306,1183
3310,1139
3311,1020
3319,245
3323,201
3324,1069
3333,1144
3334,1114
3343,1069
3346,950
3349,212
3356,237
3357,1097
3366,1170
3368,1197
3372,1162
3380,1000
3384,307
3386,244
3392,1193
3395,1220
3398,1160
3407,1142
3410,1032
3417,221
3422,177
3424,1122
3432,1208
3434,1245
3441,1230
3447,1049
3451,234
3453,182
3457,1187
